NorthGroup Consulting
3A/32 Billabong Street
Stafford 4053
GC03 - Report Chainage, Offset, Elevation and Elev Diff from VAL
Thu Feb 05 10:14:58 2026

Terramodel  Project: mc30.pro
   
Hal Alignment Details:Pline Rec Number 393. Start Ch 0.000 to End Ch 3285.163. Name:MC30

   Pt No,  Chainage,     Offset,     Elev,      Pt East,     Pt North, Name        ,Note    ,
      67,   540.000,     -0.000,         ,         ,   232260.313,  6276388.301, CH 540.000            ,        ,
      68,   550.000,     -0.000,         ,         ,   232265.014,  6276379.475, CH 550.000            ,        ,
      69,   560.000,     -0.000,         ,         ,   232269.715,  6276370.649, CH 560.000            ,        ,
      70,   567.273,     -0.000,         ,         ,   232273.135,  6276364.230, CH 567.273            ,        ,
      71,   570.000,      0.000,         ,         ,   232274.463,  6276361.849, CH 570.000            ,        ,
      72,   580.000,     -0.000,         ,         ,   232280.103,  6276353.601, CH 580.000            ,        ,
      73,   590.000,      0.000,         ,         ,   232286.860,  6276346.241, CH 590.000            ,        ,
      74,   600.000,      0.000,         ,         ,   232294.596,  6276339.917, CH 600.000            ,        ,
      75,   610.000,      0.000,         ,         ,   232303.154,  6276334.760, CH 610.000            ,        ,
      76,   620.000,      0.000,         ,         ,   232312.358,  6276330.873, CH 620.000            ,        ,
      77,   625.522,      0.000,         ,         ,   232317.651,  6276329.301, CH 625.522            ,        ,
      78,   630.000,     -0.000,         ,         ,   232321.990,  6276328.197, CH 630.000            ,        ,
      79,   640.000,      0.000,         ,         ,   232331.681,  6276325.731, CH 640.000            ,        ,
      80,   650.000,      0.000,         ,         ,   232341.372,  6276323.264, CH 650.000            ,        ,
      81,   660.000,     -0.000,         ,         ,   232351.063,  6276320.797, CH 660.000            ,        ,
      82,   670.000,     -0.000,         ,         ,   232360.754,  6276318.331, CH 670.000            ,        ,
      83,   680.000,      0.000,         ,         ,   232370.445,  6276315.864, CH 680.000            ,        ,
      84,   690.000,      0.000,         ,         ,   232380.136,  6276313.398, CH 690.000            ,        ,
      85,   700.000,     -0.000,         ,         ,   232389.827,  6276310.931, CH 700.000            ,        ,
      86,   708.551,      0.000,         ,         ,   232398.114,  6276308.822, CH 708.551            ,        ,
      87,   710.000,      0.000,         ,         ,   232399.520,  6276308.471, CH 710.000            ,        ,
      88,   720.000,      0.000,         ,         ,   232409.306,  6276306.424, CH 720.000            ,        ,
      89,   726.741,      0.000,         ,         ,   232415.971,  6276305.414, CH 726.741            ,        ,
      90,   730.000,     -0.000,         ,         ,   232419.203,  6276304.998, CH 730.000            ,        ,
      91,   740.000,     -0.000,         ,         ,   232429.121,  6276303.722, CH 740.000            ,        ,
      92,   744.221,      0.000,         ,         ,   232433.307,  6276303.183, CH 744.221            ,        ,
      93,   750.000,      0.000,         ,         ,   232438.976,  6276302.080, CH 750.000            ,        ,
      94,   760.000,      0.000,         ,         ,   232448.289,  6276298.495, CH 760.000            ,        ,
      95,   770.000,     -0.000,         ,         ,   232456.583,  6276292.945, CH 770.000            ,        ,
      96,   780.000,      0.000,         ,         ,   232463.450,  6276285.704, CH 780.000            ,        ,
      97,   787.696,      0.000,         ,         ,   232467.547,  6276279.201, CH 787.696            ,        ,
      98,   790.000,      0.000,         ,         ,   232468.605,  6276277.153, CH 790.000            ,        ,
      99,   798.793,     -0.000,         ,         ,   232472.640,  6276269.341, CH 798.793            ,        ,
     100,   800.000,     -0.000,         ,         ,   232473.201,  6276268.272, CH 800.000            ,        ,
     101,   810.000,     -0.000,         ,         ,   232478.423,  6276259.751, CH 810.000            ,        ,
     102,   820.000,      0.000,         ,         ,   232484.609,  6276251.901, CH 820.000            ,        ,
     103,   830.000,      0.000,         ,         ,   232491.673,  6276244.831, CH 830.000            ,        ,
     104,   840.000,     -0.000,         ,         ,   232499.519,  6276238.640, CH 840.000            ,        ,
     105,   850.000,      0.000,         ,         ,   232508.037,  6276233.412, CH 850.000            ,        ,
     106,   859.878,      0.000,         ,         ,   232516.996,  6276229.265, CH 859.878            ,        ,
