NorthGroup Consulting
3A/32 Billabong Street
Stafford 4053
GC03 - Report Chainage, Offset, Elevation and Elev Diff from VAL
Thu Feb 05 10:05:53 2026

Terramodel  Project: mc10.pro
   
Hal Alignment Details:Pline Rec Number 393. Start Ch 5608.000 to End Ch 13848.485. Name:MC10

   Pt No,  Chainage,     Offset,     Elev,      Pt East,     Pt North, Name        ,Note    ,
      64,  6230.000,      0.000,         ,         ,   776249.718,  6286999.043, CH 6230.000           ,        ,
      65,  6240.000,      0.000,         ,         ,   776239.820,  6286997.624, CH 6240.000           ,        ,
      66,  6250.000,      0.000,         ,         ,   776229.921,  6286996.204, CH 6250.000           ,        ,
      67,  6260.000,      0.000,         ,         ,   776220.022,  6286994.785, CH 6260.000           ,        ,
      68,  6270.000,      0.000,         ,         ,   776210.124,  6286993.365, CH 6270.000           ,        ,
      69,  6280.000,      0.000,         ,         ,   776200.225,  6286991.946, CH 6280.000           ,        ,
      70,  6290.000,      0.000,         ,         ,   776190.326,  6286990.526, CH 6290.000           ,        ,
      71,  6300.000,      0.000,         ,         ,   776180.427,  6286989.107, CH 6300.000           ,        ,
      72,  6310.000,      0.000,         ,         ,   776170.529,  6286987.687, CH 6310.000           ,        ,
      73,  6320.000,      0.000,         ,         ,   776160.630,  6286986.268, CH 6320.000           ,        ,
      74,  6330.000,      0.000,         ,         ,   776150.731,  6286984.848, CH 6330.000           ,        ,
      75,  6340.000,      0.000,         ,         ,   776140.832,  6286983.429, CH 6340.000           ,        ,
      76,  6350.000,      0.000,         ,         ,   776130.934,  6286982.009, CH 6350.000           ,        ,
      77,  6360.000,      0.000,         ,         ,   776121.035,  6286980.590, CH 6360.000           ,        ,
      78,  6370.000,      0.000,         ,         ,   776111.136,  6286979.171, CH 6370.000           ,        ,
      79,  6380.000,     -0.000,         ,         ,   776101.237,  6286977.751, CH 6380.000           ,        ,
      80,  6390.000,      0.000,         ,         ,   776091.339,  6286976.332, CH 6390.000           ,        ,
      81,  6400.000,      0.000,         ,         ,   776081.440,  6286974.912, CH 6400.000           ,        ,
      82,  6410.000,      0.000,         ,         ,   776071.541,  6286973.493, CH 6410.000           ,        ,
      83,  6420.000,      0.000,         ,         ,   776061.642,  6286972.073, CH 6420.000           ,        ,
