NorthGroup Consulting
3A/32 Billabong Street
Stafford 4053
GC03 - Report Chainage, Offset, Elevation and Elev Diff from VAL
Thu Feb 05 10:18:40 2026

Terramodel  Project: mc50.pro
   
Hal Alignment Details:Pline Rec Number 393. Start Ch 0.000 to End Ch 1568.293. Name:MC50

   Pt No,  Chainage,     Offset,     Elev,      Pt East,     Pt North, Name        ,Note    ,
      67,   600.000,     -0.000,         ,         ,   242797.910,  6285934.601, CH 600.000            ,        ,
      68,   610.000,     -0.000,         ,         ,   242788.321,  6285931.764, CH 610.000            ,        ,
      69,   620.000,     -0.000,         ,         ,   242778.825,  6285928.633, CH 620.000            ,        ,
      70,   630.000,     -0.000,         ,         ,   242769.429,  6285925.211, CH 630.000            ,        ,
      71,   638.170,      0.000,         ,         ,   242761.833,  6285922.202, CH 638.170            ,        ,
      72,   640.000,     -0.000,         ,         ,   242760.140,  6285921.507, CH 640.000            ,        ,
      73,   650.000,      0.000,         ,         ,   242750.890,  6285917.707, CH 650.000            ,        ,
      74,   660.000,     -0.000,         ,         ,   242741.640,  6285913.908, CH 660.000            ,        ,
      75,   670.000,      0.000,         ,         ,   242732.390,  6285910.108, CH 670.000            ,        ,
      76,   680.000,     -0.000,         ,         ,   242723.140,  6285906.308, CH 680.000            ,        ,
      77,   690.000,      0.000,         ,         ,   242713.890,  6285902.509, CH 690.000            ,        ,
      78,   700.000,      0.000,         ,         ,   242704.640,  6285898.709, CH 700.000            ,        ,
      79,   710.000,     -0.000,         ,         ,   242695.390,  6285894.909, CH 710.000            ,        ,
      80,   720.000,      0.000,         ,         ,   242686.140,  6285891.109, CH 720.000            ,        ,
      81,   730.000,     -0.000,         ,         ,   242676.890,  6285887.310, CH 730.000            ,        ,
      82,   740.000,      0.000,         ,         ,   242667.640,  6285883.510, CH 740.000            ,        ,
      83,   750.000,     -0.000,         ,         ,   242658.390,  6285879.710, CH 750.000            ,        ,
      84,   760.000,     -0.000,         ,         ,   242649.140,  6285875.911, CH 760.000            ,        ,
      85,   770.000,      0.000,         ,         ,   242639.891,  6285872.111, CH 770.000            ,        ,
      86,   780.000,     -0.000,         ,         ,   242630.641,  6285868.311, CH 780.000            ,        ,
      87,   790.000,      0.000,         ,         ,   242621.391,  6285864.512, CH 790.000            ,        ,
      88,   800.000,     -0.000,         ,         ,   242612.141,  6285860.712, CH 800.000            ,        ,
      89,   810.000,      0.000,         ,         ,   242602.891,  6285856.912, CH 810.000            ,        ,
      90,   820.000,      0.000,         ,         ,   242593.641,  6285853.112, CH 820.000            ,        ,
      91,   830.000,     -0.000,         ,         ,   242584.391,  6285849.313, CH 830.000            ,        ,
      92,   835.505,      0.000,         ,         ,   242579.299,  6285847.221, CH 835.505            ,        ,
      93,   840.000,      0.000,         ,         ,   242575.138,  6285845.519, CH 840.000            ,        ,
      94,   850.000,      0.000,         ,         ,   242565.864,  6285841.778, CH 850.000            ,        ,
      95,   860.000,     -0.000,         ,         ,   242556.566,  6285838.099, CH 860.000            ,        ,
      96,   870.000,      0.000,         ,         ,   242547.243,  6285834.482, CH 870.000            ,        ,
      97,   880.000,      0.000,         ,         ,   242537.896,  6285830.927, CH 880.000            ,        ,
      98,   890.000,     -0.000,         ,         ,   242528.526,  6285827.435, CH 890.000            ,        ,
      99,   898.813,      0.000,         ,         ,   242520.248,  6285824.409, CH 898.813            ,        ,
     100,   900.000,      0.000,         ,         ,   242519.132,  6285824.004, CH 900.000            ,        ,
     101,   910.000,     -0.000,         ,         ,   242509.730,  6285820.598, CH 910.000            ,        ,
     102,   920.000,      0.000,         ,         ,   242500.328,  6285817.192, CH 920.000            ,        ,
     103,   930.000,     -0.000,         ,         ,   242490.926,  6285813.786, CH 930.000            ,        ,
     104,   940.000,      0.000,         ,         ,   242481.524,  6285810.380, CH 940.000            ,        ,
     105,   950.000,     -0.000,         ,         ,   242472.122,  6285806.974, CH 950.000            ,        ,
     106,   960.000,      0.000,         ,         ,   242462.720,  6285803.568, CH 960.000            ,        ,
     107,   970.000,     -0.000,         ,         ,   242453.318,  6285800.162, CH 970.000            ,        ,
     108,   980.000,      0.000,         ,         ,   242443.916,  6285796.756, CH 980.000            ,        ,
     109,   990.000,     -0.000,         ,         ,   242434.514,  6285793.350, CH 990.000            ,        ,
     110,  1000.000,      0.000,         ,         ,   242425.112,  6285789.944, CH 1000.000           ,        ,
     111,  1010.000,     -0.000,         ,         ,   242415.710,  6285786.538, CH 1010.000           ,        ,
     112,  1020.000,      0.000,         ,         ,   242406.308,  6285783.132, CH 1020.000           ,        ,
     113,  1030.000,     -0.000,         ,         ,   242396.905,  6285779.726, CH 1030.000           ,        ,
     114,  1040.000,      0.000,         ,         ,   242387.503,  6285776.320, CH 1040.000           ,        ,
     115,  1050.000,     -0.000,         ,         ,   242378.101,  6285772.914, CH 1050.000           ,        ,
     116,  1060.000,      0.000,         ,         ,   242368.699,  6285769.508, CH 1060.000           ,        ,
     117,  1070.000,     -0.000,         ,         ,   242359.297,  6285766.102, CH 1070.000           ,        ,
     118,  1080.000,      0.000,         ,         ,   242349.895,  6285762.696, CH 1080.000           ,        ,
     119,  1090.000,     -0.000,         ,         ,   242340.493,  6285759.290, CH 1090.000           ,        ,
     120,  1100.000,      0.000,         ,         ,   242331.091,  6285755.884, CH 1100.000           ,        ,
     121,  1110.000,     -0.000,         ,         ,   242321.689,  6285752.478, CH 1110.000           ,        ,
     122,  1120.000,      0.000,         ,         ,   242312.287,  6285749.072, CH 1120.000           ,        ,
     123,  1130.000,     -0.000,         ,         ,   242302.885,  6285745.666, CH 1130.000           ,        ,
     124,  1140.000,      0.000,         ,         ,   242293.483,  6285742.260, CH 1140.000           ,        ,
     125,  1148.798,      0.000,         ,         ,   242285.211,  6285739.263, CH 1148.798           ,        ,
     126,  1150.000,      0.000,         ,         ,   242284.081,  6285738.854, CH 1150.000           ,        ,
     127,  1160.000,      0.000,         ,         ,   242274.664,  6285735.488, CH 1160.000           ,        ,
     128,  1170.000,     -0.000,         ,         ,   242265.181,  6285732.314, CH 1170.000           ,        ,
     129,  1180.000,     -0.000,         ,         ,   242255.584,  6285729.509, CH 1180.000           ,        ,
     130,  1190.000,     -0.000,         ,         ,   242245.844,  6285727.252, CH 1190.000           ,        ,
     131,  1200.000,     -0.000,         ,         ,   242235.963,  6285725.731, CH 1200.000           ,        ,
     132,  1203.798,      0.000,         ,         ,   242232.182,  6285725.386, CH 1203.798           ,        ,
     133,  1210.000,      0.000,         ,         ,   242225.985,  6285725.128, CH 1210.000           ,        ,
     134,  1220.000,      0.000,         ,         ,   242215.997,  6285725.523, CH 1220.000           ,        ,
     135,  1228.644,     -0.000,         ,         ,   242207.432,  6285726.666, CH 1228.644           ,        ,
     136,  1230.000,      0.000,         ,         ,   242206.099,  6285726.912, CH 1230.000           ,        ,
     137,  1240.000,     -0.000,         ,         ,   242196.377,  6285729.240, CH 1240.000           ,        ,
     138,  1250.000,     -0.000,         ,         ,   242186.869,  6285732.332, CH 1250.000           ,        ,
     139,  1260.000,     -0.000,         ,         ,   242177.567,  6285735.999, CH 1260.000           ,        ,
     140,  1270.000,      0.000,         ,         ,   242168.430,  6285740.063, CH 1270.000           ,        ,
     141,  1280.000,      0.000,         ,         ,   242159.397,  6285744.353, CH 1280.000           ,        ,
     142,  1283.644,      0.000,         ,         ,   242156.117,  6285745.940, CH 1283.644           ,        ,
     143,  1290.000,     -0.000,         ,         ,   242150.396,  6285748.710, CH 1290.000           ,        ,
     144,  1300.000,      0.000,         ,         ,   242141.396,  6285753.067, CH 1300.000           ,        ,
     145,  1310.000,      0.000,         ,         ,   242132.395,  6285757.425, CH 1310.000           ,        ,
     146,  1310.412,      0.000,         ,         ,   242132.025,  6285757.605, CH 1310.412           ,        ,
     147,  1320.000,     -0.000,         ,         ,   242123.411,  6285761.817, CH 1320.000           ,        ,
     148,  1330.000,      0.000,         ,         ,   242114.465,  6285766.284, CH 1330.000           ,        ,
     149,  1340.000,      0.000,         ,         ,   242105.555,  6285770.826, CH 1340.000           ,        ,
     150,  1350.000,     -0.000,         ,         ,   242096.684,  6285775.441, CH 1350.000           ,        ,
     151,  1360.000,      0.000,         ,         ,   242087.852,  6285780.130, CH 1360.000           ,        ,
     152,  1370.000,     -0.000,         ,         ,   242079.059,  6285784.893, CH 1370.000           ,        ,
     153,  1380.000,      0.000,         ,         ,   242070.306,  6285789.728, CH 1380.000           ,        ,
     154,  1390.000,      0.000,         ,         ,   242061.593,  6285794.637, CH 1390.000           ,        ,
     155,  1400.000,      0.000,         ,         ,   242052.922,  6285799.618, CH 1400.000           ,        ,
     156,  1410.000,      0.000,         ,         ,   242044.292,  6285804.671, CH 1410.000           ,        ,
     157,  1420.000,      0.000,         ,         ,   242035.705,  6285809.795, CH 1420.000           ,        ,
     158,  1430.000,      0.000,         ,         ,   242027.161,  6285814.991, CH 1430.000           ,        ,
     159,  1440.000,      0.000,         ,         ,   242018.661,  6285820.258, CH 1440.000           ,        ,
     160,  1444.474,      0.000,         ,         ,   242014.872,  6285822.638, CH 1444.474           ,        ,
     161,  1450.000,      0.000,         ,         ,   242010.198,  6285825.585, CH 1450.000           ,        ,
     162,  1460.000,      0.000,         ,         ,   242001.739,  6285830.920, CH 1460.000           ,        ,
     163,  1470.000,      0.000,         ,         ,   241993.281,  6285836.254, CH 1470.000           ,        ,
     164,  1480.000,      0.000,         ,         ,   241984.822,  6285841.588, CH 1480.000           ,        ,
     165,  1490.000,     -0.000,         ,         ,   241976.364,  6285846.922, CH 1490.000           ,        ,
     166,  1500.000,     -0.000,         ,         ,   241967.905,  6285852.256, CH 1500.000           ,        ,
     167,  1510.000,     -0.000,         ,         ,   241959.446,  6285857.590, CH 1510.000           ,        ,
     168,  1520.000,      0.000,         ,         ,   241950.988,  6285862.924, CH 1520.000           ,        ,
     169,  1530.000,      0.000,         ,         ,   241942.529,  6285868.258, CH 1530.000           ,        ,
     170,  1540.000,      0.000,         ,         ,   241934.071,  6285873.592, CH 1540.000           ,        ,
     171,  1550.000,      0.000,         ,         ,   241925.612,  6285878.926, CH 1550.000           ,        ,
     172,  1560.000,     -0.000,         ,         ,   241917.153,  6285884.260, CH 1560.000           ,        ,
     173,  1568.293,      0.000,         ,         ,   241910.139,  6285888.684, CH 1568.293           ,        ,
