NorthGroup Consulting
3A/32 Billabong Street
Stafford 4053
GC03 - Report Chainage, Offset, Elevation and Elev Diff from VAL
Thu Feb 05 10:12:24 2026

Terramodel  Project: mc20.pro
   
Hal Alignment Details:Pline Rec Number 393. Start Ch 3084.323 to End Ch 5123.751. Name:MC20

   Pt No,  Chainage,     Offset,     Elev,      Pt East,     Pt North, Name        ,Note    ,
      64,  3690.000,      0.000,         ,         ,   230201.991,  6287202.283, CH 3690.000           ,        ,
      65,  3700.000,     -0.000,         ,         ,   230194.153,  6287196.073, CH 3700.000           ,        ,
      66,  3710.000,      0.000,         ,         ,   230186.316,  6287189.862, CH 3710.000           ,        ,
      67,  3720.000,     -0.000,         ,         ,   230178.478,  6287183.651, CH 3720.000           ,        ,
      68,  3730.000,      0.000,         ,         ,   230170.641,  6287177.441, CH 3730.000           ,        ,
      69,  3740.000,     -0.000,         ,         ,   230162.803,  6287171.230, CH 3740.000           ,        ,
      70,  3750.000,      0.000,         ,         ,   230154.965,  6287165.019, CH 3750.000           ,        ,
      71,  3760.000,     -0.000,         ,         ,   230147.128,  6287158.809, CH 3760.000           ,        ,
      72,  3770.000,      0.000,         ,         ,   230139.290,  6287152.598, CH 3770.000           ,        ,
      73,  3780.000,     -0.000,         ,         ,   230131.453,  6287146.387, CH 3780.000           ,        ,
      74,  3790.000,      0.000,         ,         ,   230123.615,  6287140.177, CH 3790.000           ,        ,
      75,  3800.000,     -0.000,         ,         ,   230115.777,  6287133.966, CH 3800.000           ,        ,
      76,  3810.000,      0.000,         ,         ,   230107.940,  6287127.756, CH 3810.000           ,        ,
      77,  3820.000,     -0.000,         ,         ,   230100.102,  6287121.545, CH 3820.000           ,        ,
      78,  3830.000,      0.000,         ,         ,   230092.265,  6287115.334, CH 3830.000           ,        ,
      79,  3835.149,      0.000,         ,         ,   230088.229,  6287112.136, CH 3835.149           ,        ,
      80,  3840.000,     -0.000,         ,         ,   230084.426,  6287109.125, CH 3840.000           ,        ,
      81,  3850.000,     -0.000,         ,         ,   230076.565,  6287102.944, CH 3850.000           ,        ,
      82,  3860.000,     -0.000,         ,         ,   230068.637,  6287096.849, CH 3860.000           ,        ,
      83,  3870.000,      0.000,         ,         ,   230060.601,  6287090.898, CH 3870.000           ,        ,
