NorthGroup Consulting
3A/32 Billabong Street
Stafford 4053
GC03 - Report Chainage, Offset, Elevation and Elev Diff from VAL
Thu Feb 05 10:27:46 2026

Terramodel  Project: mc80.pro
   
Hal Alignment Details:Pline Rec Number 393. Start Ch -35.352 to End Ch 4872.028. Name:MC80

   Pt No,  Chainage,     Offset,     Elev,      Pt East,     Pt North, Name        ,Note    ,
      67,   577.614,      0.000,         ,         ,   240463.659,  6277605.492, CH 577.614            ,        ,
      68,   580.000,     -0.000,         ,         ,   240465.936,  6277604.780, CH 580.000            ,        ,
      69,   590.000,      0.000,         ,         ,   240475.545,  6277602.013, CH 590.000            ,        ,
      70,   600.000,     -0.000,         ,         ,   240485.235,  6277599.545, CH 600.000            ,        ,
      71,   610.000,     -0.000,         ,         ,   240494.981,  6277597.307, CH 610.000            ,        ,
      72,   620.000,      0.000,         ,         ,   240504.763,  6277595.229, CH 620.000            ,        ,
      73,   630.000,     -0.000,         ,         ,   240514.564,  6277593.242, CH 630.000            ,        ,
      74,   632.614,      0.000,         ,         ,   240517.127,  6277592.728, CH 632.614            ,        ,
      75,   640.000,      0.000,         ,         ,   240524.369,  6277591.278, CH 640.000            ,        ,
      76,   650.000,      0.000,         ,         ,   240534.174,  6277589.314, CH 650.000            ,        ,
      77,   660.000,      0.000,         ,         ,   240543.979,  6277587.350, CH 660.000            ,        ,
      78,   670.000,      0.000,         ,         ,   240553.785,  6277585.386, CH 670.000            ,        ,
      79,   680.000,      0.000,         ,         ,   240563.590,  6277583.422, CH 680.000            ,        ,
      80,   690.000,      0.000,         ,         ,   240573.395,  6277581.458, CH 690.000            ,        ,
      81,   700.000,      0.000,         ,         ,   240583.200,  6277579.494, CH 700.000            ,        ,
      82,   710.000,      0.000,         ,         ,   240593.006,  6277577.530, CH 710.000            ,        ,
      83,   720.000,      0.000,         ,         ,   240602.811,  6277575.566, CH 720.000            ,        ,
      84,   730.000,      0.000,         ,         ,   240612.616,  6277573.602, CH 730.000            ,        ,
      85,   740.000,      0.000,         ,         ,   240622.421,  6277571.638, CH 740.000            ,        ,
      86,   750.000,      0.000,         ,         ,   240632.227,  6277569.674, CH 750.000            ,        ,
      87,   760.000,      0.000,         ,         ,   240642.032,  6277567.710, CH 760.000            ,        ,
      88,   770.000,      0.000,         ,         ,   240651.837,  6277565.746, CH 770.000            ,        ,
      89,   780.000,      0.000,         ,         ,   240661.642,  6277563.782, CH 780.000            ,        ,
      90,   790.000,      0.000,         ,         ,   240671.448,  6277561.818, CH 790.000            ,        ,
      91,   800.000,      0.000,         ,         ,   240681.253,  6277559.855, CH 800.000            ,        ,
      92,   810.000,      0.000,         ,         ,   240691.058,  6277557.891, CH 810.000            ,        ,
      93,   820.000,      0.000,         ,         ,   240700.863,  6277555.927, CH 820.000            ,        ,
      94,   830.000,      0.000,         ,         ,   240710.669,  6277553.963, CH 830.000            ,        ,
      95,   840.000,      0.000,         ,         ,   240720.474,  6277551.999, CH 840.000            ,        ,
      96,   850.000,      0.000,         ,         ,   240730.279,  6277550.035, CH 850.000            ,        ,
      97,   860.000,      0.000,         ,         ,   240740.084,  6277548.071, CH 860.000            ,        ,
      98,   870.000,      0.000,         ,         ,   240749.890,  6277546.107, CH 870.000            ,        ,
      99,   880.000,      0.000,         ,         ,   240759.695,  6277544.143, CH 880.000            ,        ,
     100,   890.000,      0.000,         ,         ,   240769.500,  6277542.179, CH 890.000            ,        ,
     101,   900.000,      0.000,         ,         ,   240779.305,  6277540.215, CH 900.000            ,        ,
     102,   910.000,      0.000,         ,         ,   240789.111,  6277538.251, CH 910.000            ,        ,
     103,   920.000,      0.000,         ,         ,   240798.916,  6277536.287, CH 920.000            ,        ,
     104,   930.000,      0.000,         ,         ,   240808.721,  6277534.323, CH 930.000            ,        ,
     105,   940.000,      0.000,         ,         ,   240818.526,  6277532.359, CH 940.000            ,        ,
     106,   945.182,      0.000,         ,         ,   240823.608,  6277531.342, CH 945.182            ,        ,
     107,   950.000,     -0.000,         ,         ,   240828.349,  6277530.490, CH 950.000            ,        ,
     108,   960.000,      0.000,         ,         ,   240838.279,  6277529.335, CH 960.000            ,        ,
     109,   970.000,      0.000,         ,         ,   240848.271,  6277529.010, CH 970.000            ,        ,
     110,   980.000,      0.000,         ,         ,   240858.256,  6277529.517, CH 980.000            ,        ,
     111,   990.000,     -0.000,         ,         ,   240868.163,  6277530.854, CH 990.000            ,        ,
     112,  1000.000,      0.000,         ,         ,   240877.924,  6277533.011, CH 1000.000           ,        ,
     113,  1010.000,      0.000,         ,         ,   240887.473,  6277535.973, CH 1010.000           ,        ,
     114,  1020.000,      0.000,         ,         ,   240896.741,  6277539.720, CH 1020.000           ,        ,
     115,  1030.000,     -0.000,         ,         ,   240905.666,  6277544.225, CH 1030.000           ,        ,
     116,  1036.806,      0.000,         ,         ,   240911.511,  6277547.709, CH 1036.806           ,        ,
     117,  1040.000,      0.000,         ,         ,   240914.207,  6277549.421, CH 1040.000           ,        ,
     118,  1050.000,      0.000,         ,         ,   240922.649,  6277554.782, CH 1050.000           ,        ,
     119,  1060.000,      0.000,         ,         ,   240931.090,  6277560.144, CH 1060.000           ,        ,
     120,  1070.000,     -0.000,         ,         ,   240939.531,  6277565.505, CH 1070.000           ,        ,
     121,  1080.000,     -0.000,         ,         ,   240947.973,  6277570.867, CH 1080.000           ,        ,
     122,  1090.000,      0.000,         ,         ,   240956.414,  6277576.228, CH 1090.000           ,        ,
     123,  1100.000,      0.000,         ,         ,   240964.855,  6277581.589, CH 1100.000           ,        ,
     124,  1110.000,     -0.000,         ,         ,   240973.297,  6277586.951, CH 1110.000           ,        ,
     125,  1120.000,     -0.000,         ,         ,   240981.738,  6277592.312, CH 1120.000           ,        ,
     126,  1130.000,      0.000,         ,         ,   240990.179,  6277597.673, CH 1130.000           ,        ,
     127,  1140.000,      0.000,         ,         ,   240998.621,  6277603.035, CH 1140.000           ,        ,
     128,  1150.000,     -0.000,         ,         ,   241007.062,  6277608.396, CH 1150.000           ,        ,
     129,  1160.000,     -0.000,         ,         ,   241015.503,  6277613.757, CH 1160.000           ,        ,
     130,  1170.000,      0.000,         ,         ,   241023.945,  6277619.119, CH 1170.000           ,        ,
     131,  1180.000,      0.000,         ,         ,   241032.386,  6277624.480, CH 1180.000           ,        ,
     132,  1190.000,     -0.000,         ,         ,   241040.827,  6277629.841, CH 1190.000           ,        ,
     133,  1200.000,     -0.000,         ,         ,   241049.269,  6277635.203, CH 1200.000           ,        ,
     134,  1210.000,      0.000,         ,         ,   241057.710,  6277640.564, CH 1210.000           ,        ,
     135,  1220.000,      0.000,         ,         ,   241066.151,  6277645.925, CH 1220.000           ,        ,
     136,  1230.000,      0.000,         ,         ,   241074.593,  6277651.287, CH 1230.000           ,        ,
     137,  1240.000,     -0.000,         ,         ,   241083.034,  6277656.648, CH 1240.000           ,        ,
     138,  1250.000,     -0.000,         ,         ,   241091.475,  6277662.009, CH 1250.000           ,        ,
     139,  1260.000,      0.000,         ,         ,   241099.917,  6277667.371, CH 1260.000           ,        ,
     140,  1270.000,      0.000,         ,         ,   241108.358,  6277672.732, CH 1270.000           ,        ,
     141,  1280.000,     -0.000,         ,         ,   241116.799,  6277678.093, CH 1280.000           ,        ,
     142,  1290.000,     -0.000,         ,         ,   241125.241,  6277683.455, CH 1290.000           ,        ,
     143,  1300.000,      0.000,         ,         ,   241133.682,  6277688.816, CH 1300.000           ,        ,
     144,  1310.000,      0.000,         ,         ,   241142.123,  6277694.177, CH 1310.000           ,        ,
     145,  1320.000,     -0.000,         ,         ,   241150.565,  6277699.539, CH 1320.000           ,        ,
     146,  1329.502,     -0.000,         ,         ,   241158.586,  6277704.633, CH 1329.502           ,        ,
     147,  1330.000,      0.000,         ,         ,   241159.007,  6277704.899, CH 1330.000           ,        ,
     148,  1340.000,     -0.000,         ,         ,   241167.772,  6277709.701, CH 1340.000           ,        ,
     149,  1350.000,     -0.000,         ,         ,   241177.040,  6277713.440, CH 1350.000           ,        ,
     150,  1360.000,      0.000,         ,         ,   241186.683,  6277716.066, CH 1360.000           ,        ,
     151,  1370.000,      0.000,         ,         ,   241196.568,  6277717.542, CH 1370.000           ,        ,
     152,  1380.000,      0.000,         ,         ,   241206.557,  6277717.848, CH 1380.000           ,        ,
     153,  1390.000,     -0.000,         ,         ,   241216.514,  6277716.979, CH 1390.000           ,        ,
     154,  1400.000,     -0.000,         ,         ,   241226.299,  6277714.947, CH 1400.000           ,        ,
     155,  1410.000,      0.000,         ,         ,   241235.779,  6277711.781, CH 1410.000           ,        ,
     156,  1420.000,     -0.000,         ,         ,   241244.821,  6277707.524, CH 1420.000           ,        ,
     157,  1430.000,      0.000,         ,         ,   241253.301,  6277702.235, CH 1430.000           ,        ,
     158,  1440.000,     -0.000,         ,         ,   241261.102,  6277695.987, CH 1440.000           ,        ,
     159,  1444.448,      0.000,         ,         ,   241264.324,  6277692.923, CH 1444.448           ,        ,
     160,  1450.000,      0.000,         ,         ,   241268.246,  6277688.992, CH 1450.000           ,        ,
     161,  1460.000,     -0.000,         ,         ,   241275.310,  6277681.914, CH 1460.000           ,        ,
     162,  1470.000,      0.000,         ,         ,   241282.374,  6277674.835, CH 1470.000           ,        ,
     163,  1480.000,     -0.000,         ,         ,   241289.437,  6277667.757, CH 1480.000           ,        ,
     164,  1490.000,      0.000,         ,         ,   241296.501,  6277660.678, CH 1490.000           ,        ,
     165,  1500.000,     -0.000,         ,         ,   241303.564,  6277653.600, CH 1500.000           ,        ,
     166,  1507.069,      0.000,         ,         ,   241308.558,  6277648.596, CH 1507.069           ,        ,
     167,  1510.000,      0.000,         ,         ,   241310.658,  6277646.552, CH 1510.000           ,        ,
     168,  1520.000,     -0.000,         ,         ,   241318.257,  6277640.058, CH 1520.000           ,        ,
     169,  1530.000,      0.000,         ,         ,   241326.467,  6277634.355, CH 1530.000           ,        ,
     170,  1540.000,      0.000,         ,         ,   241335.204,  6277629.500, CH 1540.000           ,        ,
     171,  1550.000,     -0.000,         ,         ,   241344.383,  6277625.542, CH 1550.000           ,        ,
     172,  1551.125,      0.000,         ,         ,   241345.439,  6277625.155, CH 1551.125           ,        ,
     173,  1560.000,     -0.000,         ,         ,   241353.789,  6277622.146, CH 1560.000           ,        ,
     174,  1570.000,     -0.000,         ,         ,   241363.196,  6277618.755, CH 1570.000           ,        ,
     175,  1580.000,     -0.000,         ,         ,   241372.604,  6277615.365, CH 1580.000           ,        ,
     176,  1590.000,      0.000,         ,         ,   241382.012,  6277611.974, CH 1590.000           ,        ,
     177,  1600.000,      0.000,         ,         ,   241391.419,  6277608.584, CH 1600.000           ,        ,
     178,  1610.000,      0.000,         ,         ,   241400.827,  6277605.194, CH 1610.000           ,        ,
     179,  1620.000,      0.000,         ,         ,   241410.235,  6277601.803, CH 1620.000           ,        ,
     180,  1630.000,      0.000,         ,         ,   241419.643,  6277598.413, CH 1630.000           ,        ,
     181,  1640.000,      0.000,         ,         ,   241429.050,  6277595.022, CH 1640.000           ,        ,
     182,  1650.000,      0.000,         ,         ,   241438.458,  6277591.632, CH 1650.000           ,        ,
     183,  1660.000,     -0.000,         ,         ,   241447.866,  6277588.242, CH 1660.000           ,        ,
     184,  1670.000,     -0.000,         ,         ,   241457.273,  6277584.851, CH 1670.000           ,        ,
     185,  1680.000,     -0.000,         ,         ,   241466.681,  6277581.461, CH 1680.000           ,        ,
