NorthGroup Consulting
3A/32 Billabong Street
Stafford 4053
GC03 - Report Chainage, Offset, Elevation and Elev Diff from VAL
Thu Feb 05 10:36:06 2026

Terramodel  Project: mc90.pro
   
Hal Alignment Details:Pline Rec Number 393. Start Ch 2900.000 to End Ch 4420.000. Name:MC90

   Pt No,  Chainage,     Offset,     Elev,      Pt East,     Pt North, Name        ,Note    ,
     231,  3500.000,      0.000,         ,         ,   229178.613,  6304282.745, CH 3500.000           ,        ,
     232,  3510.000,     -0.000,         ,         ,   229180.603,  6304292.545, CH 3510.000           ,        ,
     233,  3520.000,      0.000,         ,         ,   229182.743,  6304302.313, CH 3520.000           ,        ,
     234,  3530.000,     -0.000,         ,         ,   229185.033,  6304312.047, CH 3530.000           ,        ,
     235,  3540.000,      0.000,         ,         ,   229187.472,  6304321.745, CH 3540.000           ,        ,
     236,  3550.000,     -0.000,         ,         ,   229190.060,  6304331.404, CH 3550.000           ,        ,
     237,  3560.000,      0.000,         ,         ,   229192.797,  6304341.022, CH 3560.000           ,        ,
     238,  3570.000,      0.000,         ,         ,   229195.681,  6304350.597, CH 3570.000           ,        ,
     239,  3573.172,      0.000,         ,         ,   229196.627,  6304353.624, CH 3573.172           ,        ,
     240,  3580.000,      0.000,         ,         ,   229198.678,  6304360.137, CH 3580.000           ,        ,
     241,  3590.000,     -0.000,         ,         ,   229201.683,  6304369.675, CH 3590.000           ,        ,
     242,  3600.000,      0.000,         ,         ,   229204.687,  6304379.213, CH 3600.000           ,        ,
     243,  3610.000,     -0.000,         ,         ,   229207.692,  6304388.751, CH 3610.000           ,        ,
     244,  3620.000,      0.000,         ,         ,   229210.696,  6304398.289, CH 3620.000           ,        ,
     245,  3630.000,      0.000,         ,         ,   229213.701,  6304407.827, CH 3630.000           ,        ,
     246,  3640.000,     -0.000,         ,         ,   229216.705,  6304417.365, CH 3640.000           ,        ,
     247,  3647.006,      0.000,         ,         ,   229218.810,  6304424.048, CH 3647.006           ,        ,
     248,  3650.000,     -0.000,         ,         ,   229219.709,  6304426.903, CH 3650.000           ,        ,
     249,  3660.000,      0.000,         ,         ,   229222.667,  6304436.456, CH 3660.000           ,        ,
     250,  3670.000,     -0.000,         ,         ,   229225.460,  6304446.058, CH 3670.000           ,        ,
     251,  3680.000,     -0.000,         ,         ,   229227.957,  6304455.740, CH 3680.000           ,        ,
     252,  3690.000,     -0.000,         ,         ,   229230.025,  6304465.523, CH 3690.000           ,        ,
     253,  3697.006,      0.000,         ,         ,   229231.146,  6304472.439, CH 3697.006           ,        ,
     254,  3700.000,      0.000,         ,         ,   229231.530,  6304475.407, CH 3700.000           ,        ,
